CPT Code,Description
2024,cpt code quick reference guide
2,or more regions eg lumbarthoracic thoraciccervical lumbarcervical
36005,x 2 if bilateral  75820 75822
74018,per day
78800,a9569 wbc a9556 
78801,a9569 wbc a9556 
78803,a9560 a9572 a9569 wbc a9500 a9556 
20206,with either 76942 us  77012 ct  
77002,fl  or 77021 mr 
20220,with either 76942 us  77012 ct  
77002,fl  or 77021 mr 
20225,with either 76942 us  77012 ct  
77002,fl  or 77021 mr 
32400,with either 76942 us  77012 ct 
77002,fl  or 77021 mr 
38220,with either 76942 us  77012 ct 
77002,fl  or 77021 mr 
38221,with either 76942 us  77012 ct  
77002,fl  or 77021 mr 
38222,with either 76942 us  77012 ct  
77002,fl  or 77021 mr 
38505,with either 76942 us  77012 ct  
77002,fl  or 77021 mr 
47000,with either 76942 us  77012 ct  
77002,fl  or 77021 mr 
48102,with either 76942 us  77012 ct  
77002,fl  or 77021 mr 
49180,with either 76942 us  77012 ct  
77002,fl  or 77021 mr 
50200,with either 76942 us  77012 ct  
77002,fl  or 77021 mr 
55700,with either 76942 us  77012 ct  
77002,fl  or 77021 mr 
60100,with either 76942 us  77012 ct  
77002,fl  or 77021 mr 
10160,with either 76942 us  77012 ct  77002 fl  or 77021 
50390,with either 76942 us  77012 ct  77002 fl  or 77021 
60300,with either 76942 us  77012 ct  77002 fl  or 77021 
10140,with either 76942 us  77012 ct  77002 fl  or 77021 
